,kic
0,1026294
1,1162150
2,1163943
3,1294670
4,1430590
5,1431794
6,1434660
7,1570023
8,1571717
9,1572768
10,1573174
11,1575977
12,1576115
13,1577039
14,1577912
15,1718594
16,1724961
17,2011424
18,2018261
19,2158208
20,2162283
21,2162904
22,2166218
23,2167444
24,2168333
25,2168420
26,2282763
27,2283124
28,2297728
29,2300529
30,2300603
31,2301163
32,2303365
33,2304168
34,2304235
35,2310586
36,2439211
37,2439660
38,2450944
39,2554867
40,2570760
41,2571868
42,2575952
43,2578404
44,2579147
45,2579906
46,2581905
47,2582800
48,2583234
49,2583669
50,2693450
51,2694337
52,2695030
53,2707479
54,2712821
55,2714707
56,2714807
57,2717483
58,2718630
59,2718944
60,2719928
61,2837174
62,2853280
63,2855603
64,2857323
65,2857324
66,2860851
67,2972005
68,2974815
69,2985022
70,2987660
71,2988145
72,2994888
73,2995931
74,2998561
75,3003224
76,3097912
77,3098015
78,3119604
79,3120057
80,3123138
81,3127911
82,3217554
83,3218637
84,3219256
85,3223460
86,3230884
87,3231406
88,3238073
89,3239508
90,3240231
91,3240556
92,3241388
93,3245420
94,3247039
95,3323168
96,3337002
97,3338680
98,3340360
99,3346027
100,3346195
101,3425802
102,3426991
103,3427727
104,3429637
105,3437940
106,3440495
107,3440985
108,3441159
109,3441864
110,3443127
111,3444098
112,3446471
113,3448475
114,3453494
115,3454731
116,3455863
117,3456198
118,3456605
119,3456780
120,3458318
121,3529242
122,3532510
123,3539869
124,3542566
125,3546765
126,3547523
127,3548369
128,3548900
129,3555191
130,3556847
131,3558145
132,3560660
133,3561700
134,3634384
135,3641023
136,3648131
137,3655513
138,3660006
139,3660828
140,3731292
141,3744309
142,3747373
143,3748250
144,3749833
145,3757814
146,3760002
147,3761641
148,3763579
149,3833853
150,3848645
151,3849354
152,3850810
153,3851151
154,3853654
155,3854031
156,3855001
157,3858884
158,3861139
159,3862244
160,3863594
161,3864417
162,3865358
163,3867256
164,3868284
165,3868588
166,3869794
167,3941283
168,3942280
169,3942911
170,3952623
171,3965201
172,3966273
173,3966434
174,3967268
175,3967333
176,3968961
177,3969800
178,3970729
179,3973432
180,3975085
181,4035667
182,4042590
183,4044353
184,4048494
185,4054968
186,4072582
187,4077032
188,4077275
189,4078743
190,4079482
191,4136161
192,4137903
193,4138848
194,4141155
195,4141670
196,4142768
197,4150611
198,4156254
199,4160235
200,4168574
201,4168579
202,4170631
203,4171102
204,4174472
205,4177905
206,4180099
207,4180199
208,4180375
209,4242315
210,4243461
211,4243984
212,4252716
213,4252757
214,4253413
215,4263127
216,4264546
217,4269332
218,4269337
219,4271930
220,4273425
221,4274480
222,4274730
223,4276002
224,4277242
225,4281581
226,4283747
227,4285359
228,4355012
229,4366913
230,4372410
231,4374812
232,4376648
233,4380834
234,4381016
235,4381221
236,4383117
237,4383955
238,4386091
239,4390902
240,4391108
241,4456107
242,4458172
243,4459939
244,4471379
245,4472465
246,4473083
247,4473450
248,4476186
249,4476836
250,4480321
251,4481426
252,4481700
253,4482231
254,4488796
255,4488840
256,4556345
257,4562615
258,4569150
259,4570326
260,4570408
261,4574142
262,4575908
263,4580484
264,4587528
265,4588073
266,4641555
267,4647763
268,4648848
269,4649476
270,4658336
271,4661660
272,4662336
273,4670388
274,4670846
275,4671225
276,4677446
277,4677684
278,4679528
279,4679562
280,4680002
281,4726268
282,4737720
283,4740125
284,4749989
285,4756040
286,4756171
287,4763381
288,4764008
289,4768668
290,4768677
291,4768919
292,4773851
293,4814686
294,4824290
295,4840675
296,4842166
297,4847371
298,4847411
299,4848216
300,4852661
301,4856630
302,4860444
303,4862968
304,4863077
305,4902475
306,4903473
307,4919344
308,4919818
309,4920125
310,4927495
311,4927985
312,4930550
313,4930578
314,4932361
315,4932657
316,4936524
317,4937435
318,4937512
319,4937872
320,4938281
321,4945346
322,4946956
323,4947130
324,4952341
325,4989900
326,5008954
327,5019234
328,5019567
329,5020065
330,5022451
331,5023338
332,5034039
333,5036037
334,5036493
335,5038228
336,5038469
337,5042785
338,5080290
339,5097278
340,5108514
341,5112705
342,5113557
343,5119143
344,5120165
345,5123889
346,5125048
347,5130650
348,5166960
349,5168634
350,5174492
351,5174920
352,5176531
353,5177020
354,5179979
355,5180796
356,5196787
357,5196851
358,5197256
359,5198337
360,5200084
361,5200521
362,5202905
363,5206767
364,5209712
365,5209910
366,5212696
367,5219533
368,5220979
369,5253740
370,5265699
371,5267867
372,5271224
373,5272590
374,5272673
375,5281281
376,5287619
377,5288937
378,5295005
379,5295234
380,5297343
381,5297681
382,5298466
383,5299904
384,5301101
385,5302006
386,5304184
387,5304819
388,5305709
389,5305977
390,5308052
391,5309547
392,5310172
393,5355850
394,5356349
395,5356665
396,5358323
397,5370646
398,5373377
399,5376614
400,5381448
401,5384653
402,5385469
403,5389234
404,5389856
405,5390069
406,5391338
407,5391416
408,5393589
409,5394574
410,5396265
411,5428254
412,5430471
413,5435620
414,5437206
415,5440852
416,5443410
417,5444254
418,5446372
419,5459805
420,5459908
421,5461501
422,5462692
423,5466537
424,5471415
425,5473171
426,5474424
427,5474427
428,5475187
429,5475668
430,5476273
431,5476495
432,5476854
433,5476864
434,5480114
435,5480730
436,5482030
437,5511363
438,5511537
439,5537236
440,5541836
441,5542211
442,5544958
443,5545566
444,5551220
445,5551625
446,5551920
447,5552808
448,5554685
449,5556255
450,5557072
451,5560556
452,5561316
453,5564600
454,5566536
455,5567499
456,5603049
457,5611160
458,5613879
459,5617102
460,5617259
461,5617488
462,5618126
463,5620305
464,5631648
465,5632093
466,5632197
467,5632912
468,5636882
469,5641605
470,5641711
471,5643103
472,5645788
473,5645888
474,5647010
475,5647514
476,5648096
477,5649177
478,5649964
479,5651181
480,5651327
481,5705411
482,5705575
483,5707999
484,5709664
485,5717140
486,5721628
487,5722346
488,5723310
489,5724440
490,5724523
491,5724810
492,5724811
493,5725809
494,5726667
495,5727773
496,5728217
497,5728843
498,5733154
499,5734003
500,5735248
501,5737687
502,5738127
503,5768203
504,5774557
505,5775232
506,5781774
507,5783203
508,5785707
509,5786376
510,5791786
511,5802479
512,5806877
513,5807415
514,5808231
515,5810113
516,5811357
517,5811454
518,5819178
519,5823159
520,5856730
521,5857714
522,5866555
523,5872972
524,5879187
525,5880352
526,5881108
527,5891196
528,5891975
529,5892660
530,5892969
531,5895647
532,5898780
533,5900574
534,5904699
535,5904928
536,5940273
537,5960899
538,5964069
539,5964173
540,5964794
541,5976681
542,5977984
543,5980555
544,5982378
545,5988140
546,5989856
547,5991936
548,6032172
549,6032730
550,6033197
551,6041680
552,6048876
553,6057401
554,6058006
555,6060277
556,6060309
557,6060355
558,6061584
559,6065651
560,6067707
561,6067817
562,6113864
563,6115466
564,6123324
565,6127239
566,6130500
567,6139591
568,6141372
569,6142919
570,6153233
571,6184298
572,6187665
573,6199731
574,6206125
575,6206627
576,6209293
577,6220010
578,6224312
579,6226293
580,6227118
581,6228306
582,6228371
583,6229130
584,6229502
585,6230921
586,6231451
587,6262882
588,6266750
589,6268890
590,6279848
591,6280902
592,6280952
593,6284363
594,6287172
595,6289468
596,6290411
597,6290648
598,6293266
599,6294889
600,6301132
601,6302589
602,6302592
603,6302655
604,6308416
605,6310397
606,6311564
607,6314475
608,6356928
609,6357795
610,6366617
611,6372320
612,6381128
613,6381306
614,6384854
615,6385010
616,6387257
617,6388333
618,6388443
619,6389098
620,6390013
621,6390243
622,6428932
623,6429742
624,6432054
625,6441436
626,6443122
627,6445601
628,6446951
629,6448173
630,6448362
631,6451605
632,6451876
633,6463047
634,6464938
635,6467639
636,6467726
637,6470973
638,6508203
639,6508478
640,6509175
641,6511019
642,6511354
643,6520969
644,6522144
645,6522179
646,6532022
647,6546327
648,6548709
649,6579643
650,6584042
651,6586052
652,6586333
653,6587551
654,6590403
655,6593488
656,6595315
657,6604303
658,6606229
659,6612353
660,6613627
661,6614168
662,6629106
663,6633452
664,6635026
665,6636041
666,6668729
667,6670742
668,6671321
669,6675944
670,6678614
671,6691244
672,6697128
673,6697609
674,6706038
675,6707493
676,6716670
677,6720889
678,6756386
679,6756481
680,6761539
681,6762992
682,6776331
683,6777127
684,6778063
685,6780873
686,6783879
687,6784155
688,6790335
689,6792983
690,6793409
691,6804821
692,6842139
693,6844024
694,6848661
695,6854623
696,6860968
697,6862920
698,6865077
699,6871866
700,6877609
701,6879594
702,6891998
703,6922690
704,6922830
705,6937758
706,6939203
707,6939291
708,6946681
709,6947064
710,6951231
711,6951642
712,6952097
713,6964804
714,6965782
715,6965789
716,6967360
717,6974111
718,6975466
719,6976420
720,7020707
721,7021890
722,7035099
723,7035179
724,7045605
725,7045685
726,7047356
727,7047963
728,7052048
729,7060333
730,7101676
731,7106205
732,7106877
733,7108883
734,7109598
735,7118167
736,7119530
737,7122746
738,7124680
739,7125970
740,7137952
741,7138415
742,7173839
743,7174372
744,7181066
745,7202395
746,7204237
747,7207672
748,7211759
749,7212040
750,7214475
751,7217483
752,7219251
753,7219502
754,7265427
755,7283317
756,7287118
757,7287328
758,7297189
759,7299869
760,7300184
761,7300387
762,7300623
763,7301202
764,7301435
765,7301640
766,7337049
767,7337156
768,7347529
769,7350486
770,7352016
771,7352425
772,7352776
773,7368590
774,7368960
775,7375612
776,7378020
777,7378067
778,7384711
779,7385500
780,7430757
781,7450284
782,7454979
783,7454990
784,7455624
785,7456441
786,7457355
787,7458697
788,7461607
789,7463044
790,7465364
791,7467518
792,7467539
793,7502559
794,7522572
795,7532891
796,7533425
797,7533694
798,7538950
799,7547306
800,7547573
801,7548259
802,7548479
803,7549852
804,7551637
805,7551993
806,7553237
807,7583208
808,7583939
809,7585445
810,7598492
811,7604266
812,7605152
813,7605527
814,7618364
815,7621759
816,7624753
817,7626595
818,7627570
819,7668791
820,7676610
821,7678385
822,7685307
823,7687374
824,7691445
825,7697795
826,7699056
827,7699276
828,7700963
829,7702705
830,7708315
831,7732458
832,7748238
833,7749552
834,7755932
835,7756853
836,7761855
837,7765585
838,7765684
839,7767690
840,7767699
841,7770256
842,7771991
843,7773133
844,7777435
845,7778980
846,7779942
847,7819024
848,7827131
849,7830684
850,7831302
851,7834612
852,7838889
853,7838908
854,7841434
855,7842286
856,7842328
857,7842621
858,7848288
859,7848303
860,7878789
861,7881722
862,7881851
863,7890222
864,7899980
865,7900367
866,7901718
867,7902035
868,7902286
869,7908633
870,7909392
871,7914906
872,7915386
873,7915458
874,7915515
875,7917014
876,7917485
877,7918653
878,7918688
879,7918737
880,7938179
881,7953880
882,7955898
883,7959867
884,7959886
885,7967293
886,7973199
887,7974032
888,7976783
889,7977198
890,7977956
891,7977996
892,7979504
893,7986166
894,8004558
895,8027456
896,8029546
897,8038609
898,8038679
899,8041675
900,8043436
901,8045121
902,8046010
903,8046934
904,8052353
905,8054146
906,8056319
907,8058127
908,8082478
909,8085273
910,8087018
911,8092865
912,8098120
913,8103917
914,8104598
915,8106371
916,8109934
917,8113154
918,8120184
919,8121586
920,8122232
921,8122433
922,8123197
923,8123377
924,8123645
925,8125219
926,8126422
927,8127684
928,8129588
929,8149341
930,8153747
931,8173017
932,8174267
933,8174306
934,8175177
935,8177179
936,8177748
937,8181880
938,8187917
939,8191602
940,8191611
941,8194874
942,8196006
943,8196381
944,8196777
945,8196840
946,8196903
947,8196911
948,8197220
949,8197355
950,8197653
951,8197788
952,8230025
953,8233072
954,8236479
955,8244757
956,8244758
957,8245366
958,8246833
959,8247116
960,8247543
961,8248182
962,8248630
963,8255272
964,8256643
965,8259061
966,8259177
967,8261157
968,8264037
969,8264404
970,8264419
971,8264490
972,8264492
973,8264494
974,8264543
975,8264546
976,8264583
977,8264588
978,8264623
979,8264657
980,8264674
981,8264698
982,8264949
983,8264972
984,8265022
985,8265377
986,8282338
987,8292150
988,8299332
989,8308688
990,8310243
991,8311110
992,8311304
993,8314525
994,8316195
995,8321101
996,8321604
997,8322243
998,8322861
999,8329629
1000,8330102
1001,8330712
1002,8330740
1003,8330778
1004,8330790
1005,8330895
1006,8330910
1007,8331919
1008,8345453
1009,8346686
1010,8352420
1011,8357961
1012,8359671
1013,8362899
1014,8376471
1015,8377511
1016,8380088
1017,8380389
1018,8386122
1019,8388610
1020,8391086
1021,8395203
1022,8396062
1023,8396259
1024,8396791
1025,8396901
1026,8397426
1027,8415752
1028,8420644
1029,8427895
1030,8429528
1031,8429634
1032,8429756
1033,8430119
1034,8430210
1035,8439566
1036,8443311
1037,8446738
1038,8450600
1039,8452639
1040,8453431
1041,8453722
1042,8454553
1043,8456728
1044,8456774
1045,8458690
1046,8459354
1047,8460126
1048,8460683
1049,8460993
1050,8461125
1051,8461589
1052,8491816
1053,8504544
1054,8506388
1055,8507325
1056,8510534
1057,8516008
1058,8516686
1059,8517859
1060,8520436
1061,8524464
1062,8525286
1063,8526451
1064,8552907
1065,8556233
1066,8560867
1067,8560996
1068,8563841
1069,8566113
1070,8569819
1071,8570117
1072,8571022
1073,8571529
1074,8572324
1075,8574652
1076,8579615
1077,8580028
1078,8580228
1079,8583770
1080,8589526
1081,8590553
1082,8608260
1083,8620684
1084,8621095
1085,8623953
1086,8625580
1087,8626219
1088,8626462
1089,8639063
1090,8645874
1091,8648356
1092,8650712
1093,8650819
1094,8653563
1095,8654540
1096,8655712
1097,8695156
1098,8712760
1099,8717065
1100,8738244
1101,8750029
1102,8750446
1103,8751056
1104,8752359
1105,8758366
1106,8761309
1107,8766619
1108,8772391
1109,8773961
1110,8778483
1111,8782561
1112,8783270
1113,8819284
1114,8826718
1115,8827821
1116,8842494
1117,8845312
1118,8847349
1119,8869892
1120,8881697
1121,8894630
1122,8906294
1123,8907618
1124,8912468
1125,8912730
1126,8914322
1127,8914866
1128,8916266
1129,8933391
1130,8959745
1131,8963002
1132,8964755
1133,8964935
1134,8972489
1135,8972966
1136,8974140
1137,8975515
1138,8975644
1139,8978630
1140,8979487
1141,8981568
1142,9016467
1143,9020199
1144,9026611
1145,9028104
1146,9028154
1147,9045401
1148,9050337
1149,9051487
1150,9051902
1151,9052363
1152,9054553
1153,9072011
1154,9073007
1155,9092897
1156,9093266
1157,9094694
1158,9097423
1159,9099728
1160,9108615
1161,9108841
1162,9111056
1163,9137447
1164,9138872
1165,9143785
1166,9152634
1167,9156808
1168,9165393
1169,9171954
1170,9172627
1171,9172981
1172,9174121
1173,9178501
1174,9178502
1175,9180906
1176,9201644
1177,9204718
1178,9207344
1179,9210037
1180,9222942
1181,9226081
1182,9227120
1183,9228115
1184,9229318
1185,9229342
1186,9239211
1187,9239681
1188,9241509
1189,9242127
1190,9243464
1191,9243562
1192,9244992
1193,9246481
1194,9265050
1195,9267042
1196,9283128
1197,9285587
1198,9288151
1199,9288175
1200,9291275
1201,9291618
1202,9299980
1203,9300295
1204,9302543
1205,9303041
1206,9304409
1207,9304923
1208,9305574
1209,9305952
1210,9306095
1211,9308371
1212,9324334
1213,9344572
1214,9347095
1215,9351205
1216,9351622
1217,9353572
1218,9364192
1219,9367382
1220,9368220
1221,9369547
1222,9391395
1223,9392416
1224,9402693
1225,9408694
1226,9410527
1227,9413057
1228,9415300
1229,9425403
1230,9425897
1231,9426970
1232,9428798
1233,9429060
1234,9450392
1235,9450940
